Accession.No.	Uberstrain	Name	Sequencing.Platform	Sequencing.Library	Insert.Size	Experiment	Bases	Average.Length	Barcode	Source.Niche	Source.Type	Source.Details	Collection.Year	Collection.Month	Collection.Day	Collection.Time	Continent	Country	Region	District	City	Post.Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic.Formulas	Lab.Contact	Phage.Type	Comment	Bio.Project.ID	Project.ID	Sample.ID	Secondary.Sample.ID	Date.Entered	Release.Date	Status	Coverage	N50.x	Length	Species	Contig.Number...200.bp.	Low.Quality.Bases	Version	Assembly.Barcode	Project	Center	Technology	Processing.date	Predicted.Serovar	Predicted.Antigenic.Profile	ContamStatus	NumContamSNVs	percentContam	N50.y	Number.of.contigs	Largest.contig.x	Total.assembly.length	SNP.reference	Scaffolding.reference	X..contigs.....0.bp.	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig.y	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..scaffold.gap.ext..mis.	X..scaffold.gap.loc..mis.	X..unaligned.mis..contigs	X..unaligned.contigs	X..unaligned.contigs_partial	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..genomic.features	X..genomic.features_partial	Largest.alignment	Total.aligned.length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	mean_depth_cov	std_depth_cov	breadth_cov
ERR2210607	SAL_NA0046AA	Salmonella_Enteritidis_292-14	ILLUMINA	Paired	300	ERX2264960	276321672	99	SAL_NA0046AA	Human	Human	"Homo sapiens; Feaces"	2014	10	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413306	ERS2031248	06/12/2017	05/12/2017	Assembled	58	313702	4704258	"Salmonella enterica;100.0%"	33	1591	3.61	SAL_XA6454AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T16:59:27.000Z	Enteritidis	9:g,m:-	False	0	0	4700688	2	4700688	4704353	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	3	2	2	2	2	-	4704275	4700610	4700610	4700610	4700610	3	2791259	4704275	4685848	52.13	52.17	2791259	2791259	1909351	1909351	1	1	2	2	15	2	4700610	16	-	-	0	1	1	62177	99.011	1.001	1.08	3.17	2.07	4712	18	1385668	4638557	490265	490265	340930	340930	3	3	6	6	53.9231	23.28	92.14
ERR2210673	SAL_MA9556AA	Salmonella_Enteritidis_345-13	ILLUMINA	Paired	300	ERX2265026	193381440	96	SAL_MA9556AA	Human	Human	"Homo sapiens; Feaces"	2013	12	NA	NA	Europe	Poland	NA	NA	NA	NA	52.2597	21.0122	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA104413372	ERS2031314	05/12/2017	05/12/2017	Assembled	41	84253	4704760	"Salmonella enterica;99.08%"	104	5478	3.61	SAL_XA5514AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH___NATIONAL_INS		2020-02-07T17:04:01.000Z	Enteritidis	9:g,m:-	False	0	0	4693043	5	4693043	4704439	Typhimurium_LT2_AE006468	Enteritidis_P125109	5.0	4	2	1	1	1	4704439.0	4704205	4698586	4693043	4693043	4693043	5	4693043	4704439	4685848	52.13	52.17	4693043	4693043	4693043	4693043	1	1	1	1	39	1	4693043	31	0.0	0.0	1	3	2	66796	98.907	1.001	1.34	1.66	1.1	4673	42	647307	4636989	262980	262980	138061	138061	6	6	13	13	36.2047	20.2	91.75
ERR2223934	SAL_NA2164AA	S16-1659	ILLUMINA	Paired	150	ERX2277306	589021500	150	SAL_NA2164AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437657	ERS2055599	19/12/2017	19/12/2017	Assembled	125	492230	4699172	"Salmonella enterica;100.0%"	33	307	3.61	SAL_XA9242AA_AS	ADONIS	NVRI		2020-02-07T17:06:45.000Z	Enteritidis	9:g,m:-	False	0	0	4703853	15	4703853	4709769	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	3	2	2	2	2	-	4705183	4703764	4703764	4703764	4703764	16	2517079	4709680	4774402	52.17	52.15	2517079	2517079	2186685	2186685	1	1	2	2	22	2	4703764	15	-	-	0	14	1	7413	98.425	1.001	0.62	6.47	1.26	4393	36	1025425	4699646	431079	431079	217602	217602	4	4	8	8	118.5525	39.93	92.08
ERR2223935	SAL_NA2163AA	S16-1656	ILLUMINA	Paired	150	ERX2277307	563849100	150	SAL_NA2163AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437658	ERS2055600	19/12/2017	19/12/2017	Assembled	121	492230	4644407	"Salmonella enterica;100.0%"	31	184	3.61	SAL_XA9243AA_AS	ADONIS	NVRI		2020-02-07T17:15:51.000Z	Enteritidis	9:g,m:-	True	5	8.64	4827123	92	4827123	4855783	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	4	3	3	3	3	-	4827974	4826955	4826955	4826955	4826955	94	2828615	4855615	4685848	52.14	52.17	2828615	2828615	1268294	1268294	1	1	2	2	19	3	4826955	23	-	-	0	90	2	66258	98.298	1.04	0.72	14.61	1.76	4653	27	1226742	4787694	433482	477261	235462	406576	4	3	7	6	114.1275	38.05	92.3
ERR2223936	SAL_NA2162AA	S16-1648	ILLUMINA	Paired	150	ERX2277308	535526400	150	SAL_NA2162AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437659	ERS2055601	19/12/2017	19/12/2017	Assembled	113	492230	4702090	"Salmonella enterica;100.0%"	33	331	3.61	SAL_XA9244AA_AS	ADONIS	NVRI		2020-02-07T17:20:31.000Z	Enteritidis	9:g,m:-	False	0	0	4699725	2	4699725	4700007	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	2.0	1	1	1	1	1	4700007.0	4699725	4699725	4699725	4699725	4699725	2	4699725	4700007	4774402	52.14	52.15	4699725	4699725	4699725	4699725	1	1	1	1	22	1	4699725	24	0.0	0.0	0	1	0	282	98.352	1.001	0.72	6.11	0.96	4389	37	1509326	4696318	471027	471027	230389	217627	3	3	6	7	108.2142	36.07	92.09
ERR2224030	SAL_NA2143AA	S16_1321	ILLUMINA	Paired	150	ERX2277402	390165444	251	SAL_NA2143AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437753	ERS2055695	19/12/2017	19/12/2017	Assembled	82	490714	4702000	"Salmonella enterica;100.0%"	33	3557	3.61	SAL_XA9263AA_AS	ADONIS	NVRI		2020-02-07T17:24:00.000Z	Enteritidis	9:g,m:-	False	1	0	4704194	37	4704194	4718795	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	37.0	1	1	1	1	1	4718795.0	4704194	4704194	4704194	4704194	4704194	37	4704194	4718795	4774402	52.14	52.15	4704194	4704194	4704194	4704194	1	1	1	1	20	1	4704194	14	0.0	0.0	0	33	1	17627	98.428	1	0.47	5.81	0.79	4399	32	1915764	4699695	490595	490595	418194	418194	2	2	5	5	77.9956	24.78	92.16
ERR2224031	SAL_NA2142AA	S16_1266	ILLUMINA	Paired	150	ERX2277403	355757862	251	SAL_NA2142AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437754	ERS2055696	19/12/2017	19/12/2017	Assembled	75	491512	4699357	"Salmonella enterica;100.0%"	33	4472	3.61	SAL_XA9264AA_AS	ADONIS	NVRI		2020-02-07T17:36:34.000Z	Enteritidis	9:g,m:-	True	4	9.64	4704242	162	4704242	4773992	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	162.0	1	1	1	1	1	4773992.0	4704242	4704242	4704242	4704242	4704242	162	4704242	4773992	4774402	52.12	52.15	4704242	4704242	4704242	4704242	1	1	1	1	21	1	4704242	22	0.0	0.0	0	159	1	73159	98.378	1.001	0.57	6.9	0.77	4394	35	1916848	4694687	492814	492814	406710	406710	2	2	5	5	71.5058	23.25	92.13
ERR2224032	SAL_NA2141AA	S16_1293	ILLUMINA	Paired	150	ERX2277404	330736174	251	SAL_NA2141AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437755	ERS2055697	19/12/2017	19/12/2017	Assembled	71	490722	4644143	"Salmonella enterica;100.0%"	29	3077	3.61	SAL_XA9265AA_AS	ADONIS	NVRI		2020-02-07T17:40:40.000Z	Enteritidis	9:g,m:-	True	3	7.33	4703620	92	4703620	4741812	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	92.0	1	1	1	1	1	4741812.0	4703620	4703620	4703620	4703620	4703620	92	4703620	4741812	4774402	52.08	52.15	4703620	4703620	4703620	4703620	1	1	1	1	25	1	4703620	16	0.0	0.0	0	89	1	40864	98.388	1.001	0.44	6.41	1.04	4395	33	1915718	4696593	490261	490261	310951	310951	2	2	5	5	66.2788	23.01	92.13
ERR2224033	SAL_NA2140AA	S16_1278	ILLUMINA	Paired	150	ERX2277405	333574984	251	SAL_NA2140AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437756	ERS2055698	19/12/2017	19/12/2017	Assembled	71	490721	4647674	"Salmonella enterica;96.16%"	27	2959	3.61	SAL_XA9266AA_AS	ADONIS	NVRI		2020-02-07T17:41:36.000Z	Enteritidis	9:g,m:-	False	2	0	4703417	95	4703417	4747471	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	95.0	2	1	1	1	1	4747471.0	4707295	4703417	4703417	4703417	4703417	95	4703417	4747471	4774402	52.12	52.15	4703417	4703417	4703417	4703417	1	1	1	1	20	1	4703417	17	0.0	0.0	0	93	0	43799	98.435	1.001	0.42	6.77	1.13	4397	35	1915713	4700260	494308	494308	418296	418296	2	2	5	5	66.6057	23.51	92.14
ERR2224034	SAL_NA2139AA	S16_1267	ILLUMINA	Paired	150	ERX2277406	338903212	251	SAL_NA2139AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437757	ERS2055699	19/12/2017	19/12/2017	Assembled	72	491050	4645539	"Salmonella enterica;100.0%"	31	3684	3.61	SAL_XA9267AA_AS	ADONIS	NVRI		2020-02-07T17:45:38.000Z	Enteritidis	9:g,m:-	True	3	6.49	4704464	98	4704464	4745846	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	98.0	1	1	1	1	1	4745846.0	4704464	4704464	4704464	4704464	4704464	98	4704464	4745846	4774402	52.13	52.15	4704464	4704464	4704464	4704464	1	1	1	1	24	1	4704464	16	0.0	0.0	0	95	1	44489	98.392	1.001	0.51	7.51	1.15	4395	33	1915713	4690486	490901	490901	413229	413229	2	2	5	5	68.01	22.41	92.14
ERR2224036	SAL_NA2137AA	S16_1273	ILLUMINA	Paired	150	ERX2277408	302945956	251	SAL_NA2137AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437759	ERS2055701	19/12/2017	19/12/2017	Assembled	64	490721	4702346	"Salmonella enterica;100.0%"	33	4447	3.61	SAL_XA9269AA_AS	ADONIS	NVRI		2020-02-07T17:53:59.000Z	Enteritidis	9:g,m:-	True	6	7.48	4704358	106	4704358	4749116	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	106.0	1	1	1	1	1	4749116.0	4704358	4704358	4704358	4704358	4704358	106	4704358	4749116	4774402	52.09	52.15	4704358	4704358	4704358	4704358	1	1	1	1	21	1	4704358	17	0.0	0.0	0	102	1	47536	98.436	1	0.44	5.98	0.74	4397	34	1915962	4693064	490644	490644	415575	415575	2	2	5	5	60.6605	20.4	92.13
ERR2224038	SAL_NA2135AA	S16_1286	ILLUMINA	Paired	150	ERX2277410	295541456	251	SAL_NA2135AA	Poultry	Avian	NA	2016	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.919438	19.145136	Enteritidis	NA	NA	NA	NVRI	NA	NA	PRJEB23993	ERP105787	SAMEA104437761	ERS2055703	19/12/2017	19/12/2017	Assembled	63	490722	4644184	"Salmonella enterica;100.0%"	27	3625	3.61	SAL_XA9271AA_AS	ADONIS	NVRI		2020-02-07T17:56:15.000Z	Enteritidis	9:g,m:-	True	7	7.27	4928443	100	4928443	4970427	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	100.0	1	1	1	1	1	4970427.0	4928443	4928443	4928443	4928443	4928443	100	4928443	4970427	4774402	52.15	52.15	4928443	4928443	4928443	4928443	1	1	1	1	20	1	4928443	15	0.0	0.0	0	96	1	43159	98.388	1.049	0.38	6.79	1.04	4398	30	1915601	4925408	471046	490495	418296	418296	3	2	5	5	59.1877	20.12	92.13
ERR2559994	SAL_PA4635AA	Salmonella_Enteritidis_5-13	ILLUMINA	Paired	300	ERX2578336	NA	NA	SAL_PA4635AA	Human	Human	"Homo sapiens; Feaces"	2013	1	NA	NA	Europe	Poland	NA	NA	NA	NA	51.9194	19.1451	Enteritidis	NA	NA	NA	National Institute of Public Health - National Institute of Hygiene	NA	NA	PRJEB23743	ERP105515	SAMEA4639486	ERS2460140	03/05/2018	03/05/2018	Assembled	115	412377	4707636	"Salmonella enterica;100.0%"	39	7820	4	SAL_AB5989AA_AS	ADONIS	NATIONAL_INSTITUTE_OF_PUBLIC_HEALTH_NATIONAL_INS		2020-02-07T18:02:19.000Z	Enteritidis	9:g,m:-	False	0	0	4705772	3	4705772	4706356	Typhimurium_LT2_AE006468	Enteritidis_P125109	3.0	1	1	1	1	1	4706356.0	4705772	4705772	4705772	4705772	4705772	3	4705772	4706356	4685848	52.13	52.17	4705772	4705772	4705772	4705772	1	1	1	1	21	1	4705772	21	0.0	0.0	0	2	1	62934	99.065	1	0.85	2.22	0.67	4707	23	1424752	4643392	432978	432978	297654	297654	3	3	6	6	105.4145	40.12	91.79
ERR2617717	SAL_RA1918AA	1708F23069	ILLUMINA	Paired	500	ERX2634324	NA	NA	SAL_RA1918AA	Human	Human	Homo Sapiens	2017	8	NA	NA	Europe	Denmark	NA	NA	NA	NA	99999	99999	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB26717	ERP108726	SAMEA4715720	ERS2535869	04/07/2018	04/07/2018	Assembled	113	267963	4701822	"Salmonella enterica;100.0%"	57	23149	4	SAL_CB4109AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T18:09:38.000Z	Enteritidis	9:g,m:-	False	0	0	4668328	1	4668328	4668328	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	2	2	2	2	2	-	4668240	4668240	4668240	4668240	4668240	2	2545178	4668240	4774402	52.17	52.15	2545178	2545178	2123062	2123062	1	1	2	2	24	2	4668240	25	-	-	0	0	0	0	97.678	1.001	1.07	6.3	2.08	4343	56	1817988	4657739	724986	724986	310420	310420	2	2	5	5	106.4041	43.97	92.21
ERR2617777	SAL_RA1858AA	1705M50139	ILLUMINA	Paired	500	ERX2634384	NA	NA	SAL_RA1858AA	Human	Human	Homo Sapiens	2017	5	NA	NA	Europe	Denmark	NA	NA	NA	NA	99999	99999	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB26717	ERP108726	SAMEA4715780	ERS2535929	04/07/2018	04/07/2018	Assembled	106	171284	4705484	"Salmonella enterica;100.0%"	78	18355	4	SAL_CB4169AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T18:44:14.000Z	Enteritidis	9:g,m:-	False	0	0	4699866	10	4699866	4705511	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	3	2	2	2	2	-	4703456	4699782	4699782	4699782	4699782	11	2413561	4705427	4774402	52.13	52.15	2413561	2413561	2286221	2286221	1	1	2	2	23	2	4699782	25	-	-	0	9	0	5645	98.285	1.002	0.83	5.14	1.39	4384	41	1513044	4695523	471317	471317	186339	186339	3	3	7	7	96.4648	41.93	92.27
ERR2617780	SAL_RA1855AA	1308T6643	ILLUMINA	Paired	500	ERX2634387	NA	NA	SAL_RA1855AA	Human	Human	Homo Sapiens	2013	8	NA	NA	Europe	Denmark	NA	NA	NA	NA	99999	99999	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB26717	ERP108726	SAMEA4715783	ERS2535932	04/07/2018	04/07/2018	Assembled	85	264535	4698892	"Salmonella enterica;100.0%"	55	34125	4	SAL_CB4172AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T18:59:39.000Z	Enteritidis	9:g,m:-	False	1	0	4702874	7	4702874	4704931	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	7.0	1	1	1	1	1	4704931.0	4702874	4702874	4702874	4702874	4702874	7	4702874	4704931	4774402	52.16	52.15	4702874	4702874	4702874	4702874	1	1	1	1	20	1	4702874	21	0.0	0.0	0	4	0	1591	98.414	1.001	0.55	6.6	1.45	4398	34	1914957	4694651	493572	493572	303447	303447	2	2	5	5	79.7857	31.15	92.23
ERR2617798	SAL_RA1837AA	1407R18381	ILLUMINA	Paired	500	ERX2634405	NA	NA	SAL_RA1837AA	Human	Human	Homo Sapiens	2014	7	NA	NA	Europe	Denmark	NA	NA	NA	NA	99999	99999	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB26717	ERP108726	SAMEA4715801	ERS2535950	04/07/2018	04/07/2018	Assembled	68	121893	4681556	"Salmonella enterica;98.98%"	102	50530	4	SAL_CB4190AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T19:01:38.000Z	Enteritidis	9:g,m:-	False	0	0	4699343	3	4699343	4699980	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	3.0	1	1	1	1	1	4699980.0	4699343	4699343	4699343	4699343	4699343	3	4699343	4699980	4774402	52.17	52.15	4699343	4699343	4699343	4699343	1	1	1	1	43	1	4699343	37	0.0	0.0	0	1	0	382	98.319	1.001	1.17	7.84	1.32	4366	60	1024056	4690772	310628	310628	157130	157130	5	5	10	10	64.6577	27.19	92.19
ERR2752926	SAL_SA2833AA	sam_cff183fa-ce9f-4a27-8210-84b8d7db9cce	ILLUMINA	Paired	500	ERX2765972	NA	NA	SAL_SA2833AA	Human	Human	Homo sapien	2018	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA4852968	ERS2672814	24/08/2018	24/08/2018	Assembled	123	490295	4708240	"Salmonella enterica;96.88%"	34	11650	4	SAL_DB5568AA_AS	ADONIS	UNIVERSITY_HOSPITAL_GALWAY		2020-02-07T19:52:50.000Z	Enteritidis	9:g,m:-	False	0	0	4704795	4	4704795	4710695	Typhimurium_LT2_AE006468	Enteritidis_P125109	4.0	2	2	1	1	1	4710695.0	4710140	4710140	4704795	4704795	4704795	4	4704795	4710695	4685848	52.14	52.17	4704795	4704795	4704795	4704795	1	1	1	1	17	1	4704795	12	0.0	0.0	0	1	1	64185	99.057	1.001	0.4	4.61	0.45	4722	20	1549476	4645924	695325	695325	400297	400297	3	3	5	5	114.11	45.15	91.83
ERR2861368	SAL_TA5264AA	sam_cb13280c-193d-494b-b50f-885112c56fa0	ILLUMINA	Paired	500	ERX2867611	NA	NA	SAL_TA5264AA	Human	Human	Homo sapien	2018	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA5048188	ERS2859914	29/10/2018	28/10/2018	Assembled	50	490433	4703074	"Salmonella enterica;100.0%"	41	7151	4	SAL_FB4046AA_AS	SEliban	unknown	illumina	2019-04-19T16:10:56.000Z	N/A	N/A	False	0	0	4705984	72	4705984	4740260	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	72.0	1	1	1	1	1	4740260.0	4705984	4705984	4705984	4705984	4705984	72	4705984	4740260	4774402	52.15	52.15	4705984	4705984	4705984	4705984	1	1	1	1	23	1	4705984	17	0.0	0.0	0	68	1	37417	98.432	1.001	0.51	5.87	0.68	4396	33	1508453	4696710	471061	471061	230779	230779	3	3	7	7	47.6646	18.06	92.14
ERR3263708	SAL_XA3037AA	14-04296	ILLUMINA	Paired	350	ERX3290352	NA	NA	SAL_XA3037AA	Human	Human	"Homo Sapiens; Human"	2014	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5547973	ERS3350024	11/06/2019	10/06/2019	Assembled	125	492231	4708651	"Salmonella enterica;97.5%"	43	12351	4	SAL_MB6381AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:06:30.000Z	Enteritidis	9:g,m:-	False	1	0	4709791	7	4709791	4716439	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	7.0	2	2	1	1	1	4716439.0	4715187	4715187	4709791	4709791	4709791	7	4709791	4716439	4774402	52.15	52.15	4709791	4709791	4709791	4709791	1	1	1	1	21	1	4709791	35	0.0	0.0	0	1	1	11587	98.407	1.001	0.87	6.19	0.81	4387	41	1915676	4699326	656270	656270	181992	181992	2	2	6	6	117.648	43.06	92.13
ERR3263714	SAL_XA3031AA	14-05569	ILLUMINA	Paired	350	ERX3290358	NA	NA	SAL_XA3031AA	Human	Human	"Homo Sapiens; Human"	2014	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5547979	ERS3350030	11/06/2019	10/06/2019	Assembled	104	439129	4708486	"Salmonella enterica;97.62%"	45	13176	4	SAL_MB6387AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:12:16.000Z	Enteritidis	9:g,m:-	False	2	0	4705066	9	4705066	4712907	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	9.0	2	2	1	1	1	4712907.0	4710462	4710462	4705066	4705066	4705066	9	4705066	4712907	4774402	52.15	52.15	4705066	4705066	4705066	4705066	1	1	1	1	18	1	4705066	19	0.0	0.0	0	6	0	7376	98.45	1.001	0.42	5.7	0.96	4394	36	1915716	4701189	726684	726684	433652	418140	2	2	4	5	98.7391	37.18	92.21
ERR3263720	SAL_XA3025AA	14-06175	ILLUMINA	Paired	350	ERX3290364	NA	NA	SAL_XA3025AA	Human	Human	"Homo Sapiens; Human"	2014	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5547985	ERS3350036	11/06/2019	10/06/2019	Assembled	72	492231	4707864	"Salmonella enterica;97.44%"	40	11683	4	SAL_MB6393AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:14:34.000Z	Enteritidis	9:g,m:-	False	1	0	4707019	14	4707019	4716226	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	14.0	2	2	1	1	1	4716226.0	4712337	4712337	4707019	4707019	4707019	14	4707019	4716226	4774402	52.14	52.15	4707019	4707019	4707019	4707019	1	1	1	1	21	1	4707019	22	0.0	0.0	0	11	1	12438	98.428	1.001	0.53	6.72	1.04	4391	36	1915717	4701904	490259	490259	231668	231315	2	2	5	6	67.6986	26.2	92.14
ERR3263727	SAL_XA3018AA	15-00349	ILLUMINA	Paired	350	ERX3290371	NA	NA	SAL_XA3018AA	Human	Human	"Homo Sapiens; Human"	2015	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5547992	ERS3350043	11/06/2019	10/06/2019	Assembled	85	492231	4714949	"Salmonella enterica;97.56%"	43	18202	4	SAL_MB6400AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:14:57.000Z	Enteritidis	9:g,m:-	False	0	0	4706718	16	4706718	4718095	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	16.0	2	2	1	1	1	4718095.0	4712000	4712000	4706718	4706718	4706718	16	4706718	4718095	4774402	52.13	52.15	4706718	4706718	4706718	4706718	1	1	1	1	22	1	4706718	32	0.0	0.0	0	15	1	13568	98.444	1.001	0.66	6.83	1	4391	38	1916339	4700186	490258	490258	231910	231910	2	2	6	6	79.1673	30.87	92.21
ERR3263749	SAL_XA2996AA	15-02845	ILLUMINA	Paired	350	ERX3290393	NA	NA	SAL_XA2996AA	Human	Human	"Homo Sapiens; Human"	2015	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548014	ERS3350065	11/06/2019	10/06/2019	Assembled	63	439218	4707753	"Salmonella enterica;97.37%"	42	12219	4	SAL_MB6422AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:17:39.000Z	N/A	9:g,m:e,n,x,z15	False	1	0	4704506	24	4704506	4721788	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	24.0	3	2	1	1	1	4721788.0	4710974	4709902	4704506	4704506	4704506	24	4704506	4721788	4774402	52.13	52.15	4704506	4704506	4704506	4704506	1	1	1	1	22	1	4704506	21	0.0	0.0	0	20	0	16547	98.424	1.001	0.49	6.89	1	4398	33	1508710	4696656	471067	471067	306468	306468	3	3	6	6	56.1821	21.66	92.09
